"Banana • Dairy-Free + Vegan (Deluxe)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;"Amount";"Unit";;"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";;;;;
"Nutritional values per 100g/ml";100;"g";;88.3;1.1;15.5;4.9;5.9;0.2;;;;;
"Nutritional values per ½ Deluxe Tub";340;"g";;300.1;3.9;52.8;16.5;20.2;0.7;;;;;
"Nutritional values total";683;"g";;602.8;7.8;106.0;33.1;40.5;1.5;;;;;
;;;;;;;;;;;;;;
"FPDF / PAC (target 20..30)";31.63;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";26.90%;;;"";"LOW-FAT";;"Low-Sugar";"Hi-Protein";"";;;;;
"ℹ️ Milk Solids Non-Fat (MSNF, 7-11%)";42.7;"g";;6.3%;;;;;;;;;;
"ℹ️ Net carbs";56.2;"g";;"*∝ 5 servings@137g:* 11.2g";;;"*∝ 3 servings@228g:* 18.7g";;;"*energy ratio (low <20%):* 37.3%";;;;
;;;;;;;;;;;;;;
"> 🌿 **Vegan & Dairy-free**";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Process on *Frozen Yogurt*, [hold it shortly under running water](https://jhermann.github.io/ice-creamery/info/tips%2Btricks/#handling-of-icy-sides-bottom)
*after* that.
Then a scrape-down and a respin or re-mix.

Rating: 😋😋😋😋 Good banana flavor, a little melty directly after spinning, we'll see what it's like after refreezing.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Blend the bananas and the lemon juice in the empty tub.
 1. Add ""wet"" ingredients to the banana puree.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Ingredients";"Amount";"Unit";"#";"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";"Comment";"0Carb[%]";"Counts?"
"Bananas (peeled)";200.00;"g";0;108.00;0.60;21.50;16.00;1.22;0.03;0.16;;"2 mid-sized bananas, eat any surplus 😋";;1
"Lemon juice";10.00;"ml";0;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
"Soy milk 1.6% (sugar-free) [Berief]";300.00;"ml";1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
