"CocoChoc (Deluxe)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;"Amount";"Unit";;"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";;;;;;
"Nutritional values per 100g/ml";100;"g";;133.6;6.3;17.8;3.1;3.9;0.1;;;;;;
"Nutritional values per ½ Deluxe Tub";340;"g";;454.2;21.3;60.6;10.4;13.3;0.4;;;;;;
"Nutritional values total";678;"g";;905.7;42.4;120.9;20.8;26.6;0.8;;;;;;
;;;;;;;;;;;;;;;
"FPDF / PAC (target 20..30)";30.60;;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";11.74%;;;"";"";;"Low-Sugar";"";"";;;;;;
"ℹ️ Milk Solids Non-Fat (MSNF, 7-11%)";32.3;"g";;4.8%;;;;;;;;;;;
"ℹ️ Net carbs";63.5;"g";;"*∝ 5 servings@136g:* 12.7g";;;"*∝ 3 servings@226g:* 21.2g";;;"*energy ratio (low <20%):* 28%";;;;;
;;;;;;;;;;;;;;;
"*CocoChoc* is a rich, tropical fusion where deep cocoa and dark chocolate meet the velvety smoothness of coconut. 

> 🌿 **Vegan & Dairy-free**

The 100g of banana acts as a natural binder, providing a thick, fudgy body without overwhelming the chocolate profile.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Process on *Light Ice Cream*, do a scrape-down, and MIX-IN or RESPIN
(choose depending on consistency you get after processing, and eventually want after 2nd spin).";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"*Rating:* 😋🥥🍫 (untested)";;;;;;;;;;;;;;;
"1. Mix the cocoa and coconut milk powder with milk heatened in the microwave (to >80°C), blend to a smooth paste.
 1. Melt the chocolate into the still warm paste.
 1. Blend the banana and other wet ingredients except the soy milk in an empty Creami tub, to a smooth consistency. 
 1. Add the bloomed cocoa paste and the 2nd part of the soy milk, and blend to integrate.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Ingredients";"Amount";"Unit";"#";"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";"Comment";"0Carb[%]";"Counts?";"ID"
"Soy milk 1.6% (sugar-free) [Berief]";200.00;"ml";0;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;"use any other preferred milk (~2% fat)";;1;"2755284"
"Coconut Milk Powder 54% [Green Essence]";35.00;"g";0;640.00;55.00;40.25;1.25;6.25;0.13;;46.50;"*alternative:* 80ml coconut milk 22%, 50ml less soy milk";;1;"e0c6e86"
"Cocoa Powder Organic 11% [Sevenhills]";30.00;"g";0;367.00;11.00;26.80;0.90;28.00;0.05;-0.90;;;;1;
"Dark chocolate 85% [Moser-Roth/Aldi]";25.00;"g";0;604.00;50.00;20.00;14.00;11.00;0.24;-0.31;;"Portion = 25g";;1;
"Bananas (ripe, peeled)";100.00;"g";1;108.00;0.60;21.50;16.00;1.22;0.03;0.16;;"1 medium sized piece";;1;"5638add"
"Glycerin (E422, VG) [hd-line]";20.00;"g";1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1;"8717e6d"
"Brandy or Vodka 40 vol%";15.00;"g";1;280.00;;;;;;2.96;;"*alternative:* 12g (additional) VG for a sober recipe";;1;"63b8bf1"
"Soy milk 1.6% (sugar-free) [Berief]";200.00;"ml";1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;"use any other preferred milk (~2% fat)";;1;"2755284"
"SweEX (Erythritol + Xylitol 3:2)";40.00;"g";2;109.60;;100.00;;;;2.56;;"*alternative:* 53g allulose or dextrose";100.00;1;"f44b101"
"Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt]";10.00;"g";2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;"*not-as-good substitute:* 1g guar, 0.3g xanthan, and 0.3g salt";73.80;1;"3d1ecef"
"Instant Coffee [Mount Hagen]";3.00;"g";2;0.00;;;;;;;;"1.5g per 125ml";;1;"b954be3"
"Skim milk powder 1:10 (SMP) [Vita2You]";;"g";2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1;" "
;;;;;;;;;;;;;;;
"Flavor drops Vanilla (sucralose) [IronMaxx]";"≈6";"drops";3;;;;;;;;;"to taste";;"";"7c57f43"
;;;;;;;;;;;;;;;" "
