Crème Caramel (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;75.9;0.9;15.7;1.6;5.6;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;258.0;3.1;53.3;5.4;18.9;0.8;;;;;
Nutritional values total;676;g;;512.9;6.2;106.0;10.7;37.6;1.5;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.67;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";29.31%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);39.4;g;;5.8%;;;;;;;;;;
ℹ️ Net carbs;32.7;g;;*∝ 5 servings@135g:* 6.5g;;;*∝ 3 servings@225g:* 10.9g;;;*energy ratio (low <20%):* 25.5%;;;;
;;;;;;;;;;;;;;
"Not the traditional recipe, but a lighter version using
thickened dairy products instead of eggs and milk.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on *Light Ice Cream*, do a scrape-down, and finish with a mix-in or respin run.

Rating: 😋🍮🥛🍮🥛 (creamy, a bit too sweet, nice and strong caramel flavor)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;;Counts?
Soy milk 1.6% (sugar-free) [Berief];300.00;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;*alternative:* any other preferred milk (~2% fat);;1
Topfen / Quark 0.6% [Berchtesgadener];240.00;g;1;70.00;0.60;3.60;3.60;11.90;0.08;0.04;11.40;"250g container; *US alternative:* low-fat cream cheese";;1
Syrup Caramel (low-sugar) [Sukrin];50.00;ml;1;149.00;0.00;21.00;1.80;0.00;0.07;;;14% sorbitol, erythritol, stevia [75kcal, 0.9g sugar];10.00;1
Glycerin (E422, VG) [hd-line];20.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;;g;1;280.00;;;;;;2.96;;*alternative:* 0g (additional) VG for a sober recipe;;1
Soured milk 3.5% [Schwälbchen];;g;1;64.00;3.50;4.00;4.00;3.30;0.13;0.04;8.50;500g container;;1
SweEX (Erythritol + Xylitol 3:2);45.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 60g allulose or dextrose;100.00;1
Inulin [Vit4ever];15.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Waxy Maize Starch (E1442) [Ultratex];5.00;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;*alternative:* [E1422](https://jhermann.github.io/ice-creamery/info/ingredients/#acetylated-distarch-adipate-e1422), or any instant starch;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 0g guar, 0g xanthan, and 0g salt;73.80;1
;;;;;;;;;;;;;;
Flavor drops Caramel (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
Flavor drops Vanilla (sucralose) [IronMaxx];≈1;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Syrup Caramel (low-sugar) [Sukrin];10.00;ml;5;149.00;0.00;21.00;1.80;0.00;0.07;;;14% sorbitol, erythritol, stevia [15kcal, 0.2g sugar];10.00;
Medjool dates (organic) [Seba Garden];40.00;g;4;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;"1 date = 20g; pitted, possibly soaked, and chopped [111kcal, 26.4g sugar]";;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
