"Fruit Powder Mix (Deluxe)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;"Amount";"Unit";;"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";;;;;
"Nutritional values per 100g/ml";100;"g";;97.1;3.5;14.7;0.9;6.8;0.3;;;;;
"Nutritional values per ½ Deluxe Tub";340;"g";;330.1;12.0;50.0;3.1;23.0;1.1;;;;;
"Nutritional values total";670;"g";;650.5;23.6;98.5;6.1;45.2;2.2;;;;;
;;;;;;;;;;;;;;
"FPDF / PAC (target 20..30)";30.65;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";27.82%;;;"";"";;"Low-Sugar";"Hi-Protein";"";;;;;
"ℹ️ Milk Solids Non-Fat (MSNF, 7-11%)";53.1;"g";;7.9%;;;;;;;;;;
"ℹ️ Net carbs";35.1;"g";;"*∝ 5 servings@134g:* 7g";;;"*∝ 3 servings@223g:* 11.7g";;;"*energy ratio (low <20%):* 21.6%";;;;
"This one is a favorite, so it gets its own recipe mix for convenient indulgence…

It works for fruit or root powders with a sugar content from low (Ube, 10%) to high (Lingonberry, 73%).
Counting the pre-made mix as one, it is a 8 ingredients recipe for the final base, including the cream and flavor drops.

Use 85g of the mix in your final base (or 57g for a regular 16oz tub).

> 🌿 **Vegan & Dairy-free Option**<br />Replace the cottage cheese with 75g silken tofu, and use vegan cream.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spun in Light Ice Cream mode, plus a scrape-down and a mix-in run — optionally with 10g freeze-dried fruit, e.g. strawberry slices.
Comes out as soft-serve, put it back into the cold for 45min for a firmer consistency.

> *Processed strawberry and ube ice cream.*

To make your life easier, take the “prep” ingredients times 5 (see list below), mix them,
and store in an air-tight 1l container (the powder has a low density and needs space).
To mix, take a **BIG** bowl like used for baking, measure the ingredients on a scale,
and whisk them carefully but thoroughly. A ball whisk works best.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Take all the ‘prep’ ingredients from your ready-to-use mix — the list per tub is just there for reference!
 1. Add the prepared dry ingredients mixed with the chosen fruit powder, and blend *QUICKLY* using an immersion blender on full speed.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Serves:";5;"tubs";;;;;;;;;;;;
"Total:";425;"g";;;;;;;;;;;;
"Per tub:";85;"g";;;;;;;;;;;;
;;;;;;;;;;;;;;
"Erythritol (E968)";150.00;"g";;;;;;;;;;;;
"Inulin [Vit4ever]";75.00;"g";;;;;;;;;;;;
"Soy protein isolate (nature) [Powerstar]";100.00;"g";;;;;;;;;;;;
"Xylitol (E967)";75.00;"g";;;;;;;;;;;;
"Vanilla Bean Powder [InterVanilla]";10.00;"g";;;;;;;;;;;;
"Tylose powder (E466, Tylo, CMC)";7.50;"g";;;;;;;;;;;;
"Guar gum (E412)";4.00;"g";;;;;;;;;;;;
"Salt";2.50;"g";;;;;;;;;;;;
"Xanthan gum (E415, XG)";1.00;"g";;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Ingredients";"Amount";"Unit";"#";"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";"Comment";"0Carb[%]";"Counts?"
"Erythritol (E968)";30.00;"g";0;0.00;0.00;100.00;0.00;0.00;0.00;2.80;;"Sweetness = 75%";100.00;1
"Inulin [Vit4ever]";15.00;"g";0;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
"Soy protein isolate (nature) [Powerstar]";20.00;"g";0;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;"1kg bag, unsweetened, unflavored";;1
"Skim Milkpowder 1:10 [Vita2You]";;"g";0;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
"Whey protein Vanilla [MaxiNutrition]";;"g";0;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;;;1
"Xylitol (E967)";15.00;"g";0;238.00;;100.00;;;;2.20;;"Sweetness = 100%; GI = 7";100.00;1
"Vanilla Bean Powder [InterVanilla]";2.00;"g";0;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
"Tylose powder (E466, Tylo, CMC)";1.50;"g";0;143.00;0.00;75.00;0.00;0.00;0.00;;;;;1
"Guar gum (E412)";0.80;"g";0;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1
"Salt";0.50;"g";0;0.00;0.00;0.00;0.00;0.00;100.00;5.90;;;;1
"Xanthan gum (E415, XG)";0.20;"g";0;320.00;0.00;78.00;0.00;6.00;1.00;;;;;1
"Soy milk 1.6% (sugar-free) [Berief]";400.00;"ml";1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
"Cottage Cheese 4% [REWE Bio]";100.00;"g";1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
"Tofu (silken) [REWE]";;"g";1;48.00;2.10;1.80;0.50;5.30;0.01;;7.46;;;1
"Glycerin (E422, VG) [hd-line]";10.00;"g";1;400.00;0.00;99.00;0.00;0.00;0.00;3.70;;"Sweetness = 60%; GI = 5";50.00;1
"Brandy or Vodka 40 vol%";10.00;"g";1;280.00;;;;;;2.96;;"*alternative:* 8g (additional) VG for a sober recipe";;1
"Skim Milk 1.5% [Weihenstephan]";;"ml";1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;;;1
"Water";;"ml";1;;;;;;;;;;;1
;;;;;;;;;;;;;;""
"Water to MAX line";;"ml";3;;;;;;;;;;;1
