Fruity FroYo (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;88.2;2.7;13.6;5.2;5.3;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;299.7;9.3;46.4;17.7;17.9;0.6;;;;;
Nutritional values total;690;g;;608.3;18.8;94.1;35.9;36.3;1.3;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.59;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";23.89%;;;;LOW-FAT;;;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);72.6;g;;10.5%;;;;;;;;;;
ℹ️ Net carbs;44.2;g;;*∝ 5 servings@138g:* 8.8g;;;*∝ 3 servings@230g:* 14.7g;;;*energy ratio (low <20%):* 29.1%;;;;
;;;;;;;;;;;;;;
"*Fruity FroYo* is a light, protein‑enriched frozen yogurt
made from creamy 3.5% yogurt, and fresh or frozen fruit.
Rounded out with gentle sweetness and balanced
stabilizers for a smooth, scoopable texture.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Spin on “FroYo”, scrape down, and re-mix.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Rating: 😋🥛🍒🍓🫐 (untested);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Yogurt 3.5% [REWE];500.00;g;1;70.00;3.50;4.80;4.80;4.80;0.15;0.05;10.82;;;1
Soy milk 1.6% (sugar-free) [Berief];;ml;1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Strawberries;100.00;g;1;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;fresh or frozen [31kcal, 6g sugar];;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Brandy or Vodka 40 vol%;10.00;g;1;280.00;;;;;;2.96;;*alternative:* 8g (additional) VG for a sober recipe;;1
SweEX (Erythritol + Xylitol 3:2);35.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 47g allulose or dextrose;100.00;1
Skim milk powder 1:10 (SMP) [Vita2You];10.00;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
Whey + Casein protein (grass-fed) [Vilgain];10.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];10.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 1g guar, 0.3g xanthan, and 0.3g salt;73.80;1
;;;;;;;;;;;;;;
Flavor drops Vanilla (sucralose) [IronMaxx];≈4;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Strawberries;100.00;g;6;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;fresh or frozen [31kcal, 6g sugar];;
Blueberries;100.00;g;6;48.00;0.40;9.10;8.90;0.40;0.00;0.09;;fresh or frozen [48kcal, 9g sugar];;
Kiwi;100.00;g;6;52.00;0.70;8.80;8.60;0.90;0.00;0.09;;fresh [52kcal, 9g sugar];;
Cherries;100.00;g;6;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;fresh or frozen [61kcal, 10g sugar];;
Mango;100.00;g;6;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;fresh or frozen [62kcal, 13g sugar];;
Pineapple in juice [Del Monte];100.00;g;6;68.00;;15.00;15.00;0.40;0.02;0.15;;canned [68kcal, 15g sugar];;
