"Kaffee & Kekse (Deluxe)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;"Amount";"Unit";;"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";;;;;;
"Nutritional values per 100g/ml";100;"g";;91.6;3.0;13.7;2.3;5.4;0.2;;;;;;
"Nutritional values per ½ Deluxe Tub";340;"g";;311.4;10.2;46.6;7.9;18.4;0.8;;;;;;
"Nutritional values total";700;"g";;641.1;21.1;95.9;16.3;37.9;1.7;;;;;;
;;;;;;;;;;;;;;;
"FPDF / PAC (target 20..30)";30.77;;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";23.66%;;;"";"";;"Low-Sugar";"Hi-Protein";"";;;;;;
"ℹ️ Milk Solids Non-Fat (MSNF, 7-11%)";49.6;"g";;7.1%;;;;;;;;;;;
"ℹ️ Net carbs";37.3;"g";;"*∝ 5 servings@140g:* 7.5g";;;"*∝ 3 servings@233g:* 12.4g";;;"*energy ratio (low <20%):* 23.3%";;;;;
;;;;;;;;;;;;;;;
"The name is a wordplay on the German “Kaffee & Kuchen” (coffee & cake),
a time-honored tradition of meeting to enjoy some java and sweet treats.
But we use cacao cookies here (use *Oreo thins* if you cannot get *Leibniz Kekse*).

Spun on Sorbet, followed by a scrape-down and the mix-in.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"*Rating:* 😋☕🍪 (untested)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Ingredients";"Amount";"Unit";"#";"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";"Comment";"0Carb[%]";"Counts?";"ID"
"Extra strong coffee";325.00;"ml";1;0.00;0.00;0.00;0.00;0.00;0.00;;;;;1;
"Soy milk 1.6% (sugar-free) [Berief]";100.00;"ml";1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1;"2755284"
"Cottage Cheese 4% [REWE Bio]";100.00;"g";1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;"*alternative:* 30g cream cheese and 70ml milk";;1;"c6c5c25"
"Glycerin (E422, VG) [hd-line]";15.00;"g";1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1;"8717e6d"
"Brandy or Vodka 40 vol%";15.00;"g";1;280.00;;;;;;2.96;;"*alternative:* 12g (additional) VG for a sober recipe";;1;"63b8bf1"
"❔Coffee Liqueur 25 vol% [Caffè Borghetti]";21.00;"g";1;240.00;0.00;23.00;23.00;0.00;;2.08;;"if you have it, *instead of* the brandy/vodka";;;
"SweEX (Erythritol + Xylitol 3:2)";40.00;"g";2;109.60;;100.00;;;;2.56;;"*alternative:* 53g allulose or dextrose";100.00;1;"f44b101"
"Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt]";15.00;"g";2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;"*not-as-good substitute:* 1.5g guar, 0.5g xanthan, and 0.5g salt";73.80;1;"3d1ecef"
"Whey + Casein protein (grass-fed) [Vilgain]";15.00;"g";2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;"with stevia";;1;"b954be3"
"Skim milk powder 1:10 (SMP) [Vita2You]";15.00;"g";2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1;
"❔Instant Coffee [Mount Hagen]";10.00;"g";2;0.00;;;;;;;;"*optional*, for a stronger coffee taste; 1.5g per 125ml";;;
"❔Cocoa Noir Intense 11% [Cacao Barry]";;"g";2;310.46;11.00;13.00;0.50;22.00;4.10;-1.30;;"*optional*, for a darker color and a cocoa note";;;
"❔Cocoa Powder Organic 11% [Sevenhills]";10.00;"g";2;367.00;11.00;26.80;0.90;28.00;0.05;-1.30;;;;1;"051a105"
;;;;;;;;;;;;;;;
"Cream 32% [REWE Beste Wahl]";30.00;"ml";3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1;"92fa780"
"Flavor drops Vanilla (sucralose) [IronMaxx]";"≈3";"drops";3;;;;;;;;;"to taste";;"";"7c57f43"
"Flavor drops Cookies&Cream (stevia) [Nick’s]";"≈3";"drops";3;;;;;;;;;"to taste";;"";"8fe5ede"
;;;;;;;;;;;;;;;
"Shortbread, Cacao (Kakaokeks) [Leibniz]";20.00;"g";4;464.00;17.00;69.00;25.00;6.90;0.57;0.25;;"1pc ≈ 5g; 'Prescraped’ German Oreo thins 🙂";;1;"keks-cco"
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
;;;;;;;;;;;;;;"";
