"Locarb Vanilla (Deluxe)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;"Amount";"Unit";;"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";;;;
"Nutritional values per 100g/ml";100;"g";;110.2;4.1;12.4;1.1;10.0;0.3;;;;;;
"Nutritional values per ½ Deluxe Tub";340;"g";;374.8;14.0;42.3;3.8;34.0;1.1;;;;;;
"Nutritional values total";674;"g";;743.0;27.8;83.8;7.6;67.4;2.3;;;;;;
;;;;;;;;;;;;;;;
"FPDF / PAC (target 20..30)";30.55;;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";36.30%;;;"";"";;"Low-Sugar";"Hi-Protein";"";;;;;;
"ℹ️ Milk Solids Non-Fat (MSNF, 7-11%)";82.7;"g";;12.3%;;;;;;;;;;;
"ℹ️ Net carbs";16.1;"g";;2.4%;;"*∝ 5 servings@135g:* 3.2g";;;"*∝ 3 servings@225g:* 5.4g";;;"*energy ratio (low <20%):* 8.7%";;;
;;;;;;;;;;;;;;;
"This high-protein vanilla ice cream base is designed for a smooth, creamy texture with minimal sugar.

The blend of low-carb soy milk and cottage cheese makes the recipe have a rich mouthfeel similar to traditional gelato but with optimized macros.
The inclusion of stabilizers and a small amount of alcohol helps to suppress the freezing point, ensuring your treat remains scoopable rather than icy.

Spin on “Light Ice Cream”, scrape down, and re-mix if needed.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Rating: 😋🍦🍦🍦🍓 (freeze-dried strawberries as a mix-in; nice vanilla flavor with a fruity chew)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"<!-- SNIPPET: alcohol -->";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Ingredients";"Amount";"Unit";"#";"kcal";"Fat";"Carbs";"Sugar";"Protein";"Salt";"FPDF";"MSNF";"Comment";"0Carb[%]";"Counts?";"ID"
"Soy milk 1.6% (sugar-free) [Berief]";300.00;"ml";1;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;"*alternative:* any other locarb milk (~2% fat)";;1;"2755284"
"Cottage Cheese 4% [REWE Bio]";200.00;"g";1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;"*alternative:* 60g cream cheese and 140ml milk";;1;"c6c5c25"
"Glycerin (E422, VG) [hd-line]";10.00;"g";1;400.00;;99.00;;;;3.70;;;50.00;1;"8717e6d"
"Brandy or Vodka 40 vol%";10.00;"g";1;280.00;;;;;;2.96;;"*alternative:* 8g (additional) VG for a sober recipe";;1;"63b8bf1"
"Vanilla Extract (w/ alcohol) [Native Vanilla]";5.00;"ml";1;300.00;;;;;;2.22;;;;1;"92d1980"
;;;;;;;;;;;;;;;
"SweEX (Erythritol + Xylitol 3:2)";42.00;"g";2;109.60;;100.00;;;;2.56;;"*alternative:* 56g allulose or dextrose";100.00;1;"f44b101"
"Whey + Casein protein (grass-fed) [Vilgain]";40.00;"g";2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;"with stevia";;1;"b954be3"
"Inulin [Vit4ever]";15.00;"g";2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1;"d8bc1db"
"Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt]";10.00;"g";2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;"*not-as-good substitute:* 1g guar, 0.3g xanthan, and 0.3g salt";73.80;1;"3d1ecef"
"Vanilla Bean Powder [InterVanilla]";2.00;"g";2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1;"538e9f6"
"Salt";;"g";2;;;;;;100.00;5.90;;"1 quick shakes (with my shaker)";;1;"49f8edc"
"Allulose";;"g";2;40.00;;80.00;;;;1.90;;"*alternative:* 0g SweEX (Erythritol + Xylitol 3:2)";80.00;1;"e05c31a"
"Guar gum (E412)";;"g";2;180.00;0.60;84.00;0.00;5.50;0.30;;;;;1;"4d6a8f1"
"Xanthan gum (E415, XG)";;"g";2;320.00;;78.00;;6.00;1.00;;;"1tsp ≈ 2.8g";;1;"5236903"
;;;;;;;;;;;;;;;
"Cream 32% [REWE Beste Wahl]";40.00;"ml";3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1;"92fa780"
"Water to MAX line";;"ml";3;;;;;;;;;;;1;"c9410b2"
"Flavor drops Vanilla (sucralose) [IronMaxx]";"≈5";"drops";3;;;;;;;;;"to taste";;"";"7c57f43"
;;;;;;;;;;;;;;;
"Strawberry slices freeze-dried [EWL]";15.00;"g";4;300.00;3.30;48.00;48.00;7.00;0.01;;;"add as a mix-in [45kcal, 7.2g sugar]";;"";"25f7a44"
"Jam “Black Cherry” [Schwartau Extra Zero]";15.00;"g";5;59.00;0.20;15.40;7.10;0.50;0.03;;;"fruit spread, no added sugar; add as a topping [9kcal, 1.1g sugar]";8.00;;"5b5d02b"
"Jam “Strawberry” [Schwartau Extra Zero]";15.00;"g";5;56.00;0.20;17.20;3.20;0.40;0.02;;;"fruit spread, no added sugar; add as a topping [8kcal, 0.5g sugar]";14.00;;"004dcfc"
"Jam “Apricot” [Schwartau Extra Zero]";15.00;"g";5;53.00;0.10;15.00;4.10;0.50;0.03;;;"fruit spread, no added sugar; add as a topping [8kcal, 0.6g sugar]";10.50;;"sw0z-acot"
